""	"LU1"	"LU2"	"LU3"	"LU7"	"LU8"	"LU9"	"LU13"	"LU14"	"LU15"	"LU19"	"LU20"	"LU21"	"LU25"	"LU26"	"LU27"	"LU31"	"LU32"	"LU33"
"Lgi3"	280.8673544	215.5503487	253.3481978	230.8199318	210.8276198	210.1537833	252.7597212	222.8222956	243.2826739	259.2749411	275.7290123	244.6803863	242.8403821	244.9489182	260.8025787	257.4380574	262.993502	266.6635806
"Gpr155"	45.85966723	46.26965878	50.09266188	57.19752667	61.29955837	72.39743829	90.9777349	86.04537094	106.2788975	101.9613897	94.63983015	110.0162736	75.34205732	79.2315447	72.36542722	54.87554255	54.93609428	52.21409683
"Rpl34"	238.1726417	245.5220018	234.5647797	229.5028939	253.3251216	242.3198074	298.2372878	256.3574926	257.0649448	242.6455181	249.9475487	249.3378704	245.7146651	259.3487918	216.7723545	254.9521768	209.9148871	265.2998592
"Antxr1"	183.4975619	173.7121718	192.3701368	208.2906502	161.9276888	163.7989117	166.3553112	165.993048	165.6062539	130.218428	162.8843223	144.3120679	148.8406635	164.6163042	162.2636475	171.9300315	193.493476	173.7567266
"Rac1"	356.5247084	386.4546364	392.3571407	348.4577545	363.0564799	330.289103	414.411041	361.2355267	325.2665576	384.7504703	362.9814639	389.2350766	355.0410956	342.18445	355.656604	364.0230488	341.0336718	341.1332066
"Acsl1"	87.23364946	86.17345864	80.45427784	88.48463405	97.05675274	103.9895913	139.3539772	105.1348046	121.2293888	125.3668863	132.5310758	133.9065366	171.4760125	113.8541245	107.3074342	99.24423311	105.9710086	80.53667342
"Rps25"	238.2326253	249.9969672	269.8090315	235.1696477	287.784797	251.4471515	287.8899194	271.3440485	273.4919973	275.2863693	279.3527704	278.3380589	269.6049828	282.0174315	238.0654179	266.2187708	217.0930897	262.7711319
"Fbln5"	200.0465005	195.0382787	189.9456209	135.7742276	180.1686561	167.6424828	187.543755	178.8006881	176.1183763	157.6550007	174.7143801	178.0415369	148.8243716	153.3243567	151.4284703	156.6146936	155.8885947	160.0103679
"Xbp1"	196.419672	227.704631	239.0357686	175.9613374	178.4692459	161.7939375	197.65663	172.2530402	175.4812216	194.135039	207.3509866	192.8408861	226.9123516	213.5484859	205.9652635	201.4322405	184.3086591	203.1025391
"Thrsp"	47.36089392	11.92599384	9.829118816	10.56867355	10.40019022	7.028782856	10.91382491	5.783392282	6.173638452	10.99551107	28.51099007	15.63181645	127.1749282	35.2815019	13.07177269	19.55145674	9.508337083	7.148414988
"Gm44250"	163.5802699	133.3441215	150.4359236	140.8970289	146.9235608	146.354012	177.6166382	148.5835232	161.8000765	189.3787362	194.8551597	200.4364535	168.0275641	181.0733903	181.6197012	168.501854	163.8061593	159.8187706
"Nrep"	87.49866805	108.3615624	81.69481905	111.4087096	103.3383919	100.6542502	111.351809	122.951892	132.3681191	97.27422325	84.92922147	96.70979504	73.02071092	81.52088449	69.87231132	81.72257076	85.06134682	83.72264445
"Fkbp5"	15.0831567	11.41442306	11.64204517	11.46489402	11.77285502	13.45119915	23.34338037	14.1490238	27.87226219	62.16703649	32.75938137	50.67837863	26.48517027	26.49935373	20.85538724	21.84453999	11.12988337	13.38570514
"Prrg3"	104.1424898	84.26977587	93.8470823	100.0580647	74.59926641	87.23944606	104.795886	90.44074907	108.0625585	144.2538247	122.8331243	128.5403722	108.8529785	114.232406	126.4004141	103.5068616	115.9109689	102.5003579
