""	"LU1"	"LU2"	"LU3"	"LU7"	"LU8"	"LU9"	"LU13"	"LU14"	"LU15"	"LU19"	"LU20"	"LU21"	"LU25"	"LU26"	"LU27"	"LU31"	"LU32"	"LU33"
"Scgb1a1"	24810.47913	33821.12224	31691.7276	26616.76478	32909.11085	33229.45711	33878.84758	30774.45257	27195.97736	30562.15705	27382.59064	32241.68104	28588.51154	34103.21101	27278.92655	33799.89338	24986.81304	31329.8414
"Sftpc"	19807.37752	17477.59641	19122.30927	18243.2227	17989.74184	15905.89449	22039.58865	17822.33481	20083.41852	20465.71985	20137.28931	19949.50599	17152.58805	20071.32237	16798.8012	19827.89437	17271.95507	21996.54074
"Cbr2"	2975.05614	3536.675534	3672.34081	4765.952571	4850.076722	5282.401004	6607.647877	5830.160244	5987.210825	6203.205824	5844.624494	6409.583835	4560.931751	5567.539888	4102.559825	4056.023838	3176.961094	3684.311829
"Scd1"	3222.486438	2432.978839	3112.564373	1889.838906	1592.541652	1228.679337	1187.638444	1177.799042	1148.544293	1402.540718	1604.369881	1966.644175	3260.457905	3247.311817	2798.746344	3194.744542	2717.575849	2854.37557
"Rn18s-rs5"	668.2710908	1194.710892	620.7830617	850.3240804	847.3204862	600.3795892	1947.305497	2330.432152	875.5752963	1054.639248	1761.638834	512.7317494	1557.228977	3297.447622	952.7681589	696.9701805	924.5212594	1045.74116
"mt-Co1"	9683.677251	8521.349607	7828.409242	7758.716438	9218.50173	7862.846891	9453.434787	7951.358347	8318.733685	7991.248341	8874.352755	8824.837499	10167.21239	8704.836892	7711.976084	9228.092977	8035.412816	8414.511928
"Lyz2"	6059.444991	5498.059012	6189.389397	6832.901651	5645.214793	4796.505112	6734.137215	5771.425202	6638.472295	6883.312681	7042.654386	6500.380947	5856.287971	7019.764285	5952.870303	6617.097178	5920.769696	6346.348709
"Hbb-bs"	381.7483706	1970.959443	710.5904041	3370.035237	984.3036382	815.2894181	222.0750066	1008.421347	1147.72474	1152.127936	839.4512368	207.1884129	1857.299286	1036.335856	702.8358651	1017.929536	425.0400272	1878.496212
"Hba-a2"	334.2942294	1663.871816	673.9028681	3555.874042	814.1260447	737.3521421	204.6257415	961.594037	968.2791377	963.0807719	672.8305073	204.3908277	1692.041342	905.9706053	649.3579206	889.9753701	376.8402544	1568.156178
"Hspa8"	1230.545652	1443.135419	1784.336225	775.3348002	719.9214957	865.749125	1081.691281	597.8132121	862.3265726	2432.206907	2723.174522	2085.941994	2756.375213	2250.828773	2117.160945	1401.536576	1197.255086	1280.718239
"Cyp2f2"	2354.525476	3871.448732	3670.58389	3834.493245	4431.803047	4134.588741	3839.423852	3495.80447	3909.682532	3890.988683	3529.677152	4236.668509	3850.802659	4473.742708	3626.806281	4232.841884	3583.928968	3833.223202
"Ahnak"	2785.718354	1697.14374	1926.891492	1447.025384	1916.370312	2295.964431	1786.64371	2401.666588	2593.117373	2461.371184	2661.66746	2582.746695	2219.853902	2260.443018	3055.92253	2051.094278	2741.025539	2258.246045
"Fmo2"	959.4414519	1000.047979	935.4856832	850.9594321	887.9476904	972.5294323	1403.592611	1099.918246	1255.419399	2187.210751	1720.982622	1894.090785	1710.292694	1844.452538	1670.169981	1349.847009	1453.873662	1295.610029
"Sftpa1"	3578.607075	3120.851619	3522.613927	3350.055614	3085.713729	2676.739237	3653.100592	3246.626862	3186.974117	3702.966573	3703.489706	3346.769054	3463.694202	3800.77138	3474.612462	3902.477634	3616.875948	3741.349075
"Gm26809"	1943.728669	1087.615468	1115.876056	1282.919292	926.1295919	1368.428957	1583.383256	1287.159053	1453.248186	2154.954383	1407.376287	1204.442722	1868.434541	1680.334877	1805.725083	1504.125843	1636.532369	1621.430288
"Hsp90ab1"	1211.42178	1486.806298	1708.004016	1106.456528	978.8235551	994.6965822	1333.359054	965.7168992	851.0525944	1786.475661	2051.15281	1570.072245	2232.234745	1771.9926	1826.858523	1569.271458	1739.874184	1723.127479
"Cxcl15"	1660.72208	1511.694856	1586.222634	1700.693226	1363.372871	1153.399545	1007.293349	853.4137161	859.205321	441.934747	533.6809783	466.206423	675.1909032	661.8077265	727.3082832	1172.440931	1083.057196	1190.200122
"Aldh1a1"	1260.960625	1723.218503	1623.941808	2029.874623	1581.985048	1488.438195	1821.987919	1520.341797	1742.456253	2382.325693	2067.598318	2302.422475	2332.356756	2454.032244	1994.772172	2015.182763	1973.325559	1737.983085
"Inmt"	1678.99473	1603.203358	1651.475102	1952.202394	1794.030587	1972.935479	2427.66918	2108.108257	1832.523999	1762.49097	1409.110324	1689.295174	1415.813462	1594.050471	1342.486268	1614.198056	1298.56267	1698.014601
"Prdx6"	1019.811705	1176.87114	1296.774968	1074.824769	1032.842869	1066.542246	1498.680335	1233.590307	1183.350809	1901.433284	1695.251787	2076.81642	1727.263405	1826.251427	1666.322175	1514.79115	1271.734956	1434.162102
"mt-Cytb"	3903.543857	3545.346659	2963.1052	2801.880967	3758.029473	3145.339059	3890.808953	3030.771889	3265.903753	3198.127569	3654.708833	3436.786308	3824.500156	3474.305876	3002.333177	3769.604727	3015.456663	3381.240033
"Ager"	2536.225165	2317.153459	2529.885248	1308.770048	2327.664325	2130.471202	2186.557135	2419.919095	2324.797682	2406.800687	2318.571733	2629.783881	2259.152884	2309.829015	2302.400018	2591.901633	2191.476796	2726.514978
"mt-Atp6"	3788.66757	3545.411884	2908.083417	2684.27615	3577.986616	3007.560617	3687.179102	2943.613442	3071.812278	3040.000607	3470.238911	3335.776154	3672.561566	3277.816901	2855.198146	3556.957104	2964.865208	3338.007278
"mt-Nd4"	3702.589423	3380.37915	2869.71849	2567.213381	3529.472991	2869.420175	3477.219345	2700.683109	2888.463715	2925.207358	3275.302745	3168.20328	3585.402957	3285.770024	2813.756999	3539.16191	3061.459655	3069.41942
"mt-Co3"	3678.996225	3510.862952	2968.337316	2706.990134	3386.043435	2822.035195	3642.214313	2942.163657	2970.41844	2926.507546	3189.043251	3082.149065	3719.642638	3138.801533	2722.295315	3424.965642	2772.017983	3169.366137
"Sec14l3"	1295.125666	1280.674607	1678.532902	1056.287858	1541.219241	1683.887101	1588.1268	1662.624753	1931.500743	2012.638494	2155.212133	2328.655406	1779.622553	2008.032252	1942.326863	1680.301633	1716.844281	1477.441125
"mt-Co2"	3520.907184	3340.576386	2798.883868	2621.552142	3418.758613	2945.047669	3627.64324	2912.136042	2828.087256	2785.794493	3216.032845	3165.132125	3586.358747	3120.93633	2703.902617	3473.31138	2761.522515	3126.484545
"Neat1"	1684.660457	2143.093419	1744.018356	1847.78065	2031.606245	2106.481053	1783.056387	2283.856768	1985.436791	1776.884747	1751.663057	2148.436456	1810.420629	1628.1959	1815.008031	2011.911233	1706.475065	2087.713253
"Epas1"	2172.140883	2295.77044	2842.069263	2726.362968	2248.076486	2110.1407	2524.805894	2653.633547	1938.252598	2454.799698	2497.394643	2973.359521	2354.955571	2432.468358	2811.593895	2708.680784	2551.754396	2558.891141
"Gsn"	3172.114365	3603.700259	3633.404058	3120.267732	3416.366747	3321.552562	3496.064269	2977.927429	3370.109881	3628.706308	3350.363143	3624.620011	3612.003158	3751.110269	3501.630892	3736.47612	3667.514748	3599.57366
"Sftpb"	3212.536244	2602.712269	3227.850135	3371.167573	2998.749347	2790.208424	3582.198164	3301.837365	3377.307806	3243.178406	3435.580949	3357.186345	2710.643405	3291.198608	3008.978833	3179.344856	3118.383425	3117.997322
"Eef1a1"	4215.873717	4199.463441	4546.786265	4553.194147	4514.590431	4285.993858	4957.486308	4489.754013	4348.236689	4549.076299	4535.26055	4739.962741	4435.274437	4556.157098	4143.330649	4235.569966	4043.460982	4146.818016
"Hsp90aa1"	553.7885137	669.3315366	703.6601753	359.6865338	403.7142991	417.3413748	512.5591843	316.1099271	326.6382705	849.955263	1081.789273	748.4883343	1130.335249	946.2330179	918.8400627	787.8301397	850.4580207	826.4697142
"Bpifa1"	841.2082619	635.8524263	192.0783436	198.9723693	587.3179571	175.8326559	560.5052869	290.4110753	297.6585874	128.9457537	632.1635362	326.8699717	1087.486117	761.1324037	222.1747297	410.2938055	244.1788307	103.0158315
"Timp3"	800.0425864	770.3744395	925.7797784	764.8289636	776.8280814	840.1634455	1157.399408	946.0121853	999.7422972	1527.315006	1455.810985	1569.315288	1289.105568	1175.661342	1344.624094	989.1250121	1090.567599	925.9080757
"C3"	1976.665136	1135.459485	872.6028455	1142.345334	1130.726783	1206.820244	1029.060963	1199.391382	1219.42605	1121.305795	880.5694372	756.5623383	1047.616425	1110.036263	1018.530527	1072.026057	1093.882497	1099.160006
"Sparc"	2022.854168	2176.044972	2147.142722	1813.881047	1861.815514	1784.268389	2124.171332	2283.423165	2323.74982	2156.500781	2038.113356	1998.030357	1979.224772	1946.306665	1734.830903	2025.807703	1904.16878	1866.026377
"Tns1"	1347.318514	1207.683688	1370.706743	1187.858989	1130.818071	1288.020072	1288.387202	1511.135605	1479.247449	1756.711025	1545.506911	1792.559488	1457.924523	1467.590854	1669.291352	1404.691825	1579.252726	1338.782872
"Selenbp1"	703.2791739	797.3796216	853.1439905	826.2854417	874.4125252	877.9414474	1021.978137	941.372754	926.889517	1304.104579	1052.006867	1307.183417	1096.271885	1138.567651	1089.853021	1009.691065	866.9212526	946.844372
"Slc34a2"	2105.075367	1647.339767	2006.941963	2111.990507	1948.609565	1626.923089	2043.430782	1880.08212	2007.216687	1845.103336	1997.866604	1764.231463	1689.207542	1937.829107	2016.597001	2016.49017	2298.247136	1955.465499
"Scd2"	1200.779593	973.6336607	1023.130059	563.3488273	797.0367576	724.9375503	859.8557113	995.5537531	954.6041966	1180.210016	1174.454579	1511.006063	1040.92836	1142.414945	1232.008842	994.4413984	1018.065148	1005.888939
"mt-Nd1"	2438.671605	2316.965457	1857.137792	1825.02287	2379.056873	1967.10968	2491.063586	2056.330848	2102.328316	1929.966868	2043.971744	2054.113893	2383.937843	2070.222708	1830.746118	2365.860621	1884.481393	2050.699993
"Gm43305"	311.0991045	246.315576	290.547072	270.3843842	346.3434789	382.0967244	403.0310548	389.9356866	479.0243393	737.8040131	543.0004793	615.3443253	433.4993457	519.6666227	463.8234751	528.8930831	421.5586344	417.5567683
"Serinc3"	816.3390484	781.0208669	896.1266431	883.0964256	795.1146929	740.8668585	980.9107385	892.8322279	861.6149695	1377.257956	1137.193662	1269.555278	1122.663253	1087.154532	1139.692402	977.4234191	932.2170944	970.4909088
"Sptbn1"	2078.048924	1669.89876	1925.111609	1724.542719	1740.177151	1886.904866	1749.018136	2018.96105	2036.878815	2139.132022	2157.606876	2051.451235	1868.428617	1960.701626	2372.484848	1942.463225	2277.135472	1998.848329
"Lars2"	98.60872714	297.2545971	111.4269234	119.1624131	184.3890716	101.3776007	394.5214921	349.0885861	115.651338	177.7997985	410.6997646	107.5677676	284.0366285	725.6494792	163.7508103	163.9650918	158.6219457	194.7511546
"Mgp"	971.5156115	1159.615858	923.4499132	1133.494839	974.9627266	966.6717883	1363.44906	1016.185021	1092.01744	1186.500724	1255.011369	1067.68661	964.2266711	1101.766268	843.2358317	1117.500922	817.6933169	934.331235
"Scgb3a2"	980.1652511	1311.248635	1088.045929	1247.090149	1324.629323	1095.775874	1169.249793	973.143865	1113.971049	1065.01747	940.3968872	1062.998798	1242.251595	1332.215216	939.4684201	1328.346492	925.5999231	1090.509065
"mt-Nd2"	2189.445616	2107.866016	2009.589385	1629.064772	2127.534696	1708.97235	2165.948567	1765.569741	1748.748389	1829.326831	1914.48789	1949.026816	2272.315244	2048.618292	1821.396231	2248.357276	1877.372629	1994.527011
"Hbb-bt"	112.5129328	466.3658292	171.0020246	927.2962166	241.0624267	208.877359	54.68778382	281.1279737	293.7599698	258.369113	208.5420297	56.84915825	443.6284533	253.7476468	184.5631321	238.4734275	109.137561	455.598603
"Clic5"	1185.901472	957.8919883	1236.773098	677.0266504	963.7860289	935.743194	1015.46106	1170.545275	1129.170943	1292.146802	1331.778591	1396.619491	1112.860477	1155.860518	1296.506864	1119.262607	1176.356471	1093.987474
"Col3a1"	987.5808639	989.2378485	766.9977848	924.5574126	735.9258989	743.4833985	639.536579	696.4330707	837.4514813	522.1795437	453.8633695	383.0878165	623.7154663	530.9984862	543.8489377	740.2507711	828.9952183	690.4392504
"Ces1d"	648.3821547	719.810144	756.8768728	759.9930544	715.8524853	767.1693893	909.7208446	779.6939351	857.679748	1143.935976	1054.475022	1127.057927	1074.1638	1114.907251	972.3259649	959.5276095	842.9318365	871.7720749
"Cd74"	1231.815124	1104.79977	1285.346867	1546.951428	1233.295904	1087.969798	1512.542277	1136.175574	1041.810019	1085.471265	1082.948673	1189.324002	1035.829001	1039.161299	1000.406052	963.1305096	1110.61717	1157.280398
"Tef"	148.5096552	133.1087989	146.3166547	298.7175184	302.8495984	409.396868	542.4019833	572.6206342	604.4991515	490.6131288	449.0555297	523.3768084	269.830107	290.8775695	275.4953916	181.6976263	176.7232944	161.4262891
"Hba-a1"	103.6222681	616.5073772	150.5843405	794.5483199	245.1976768	161.8517796	62.47409017	235.2738484	227.4667192	247.5323335	154.929901	46.3179832	405.388443	196.7567189	136.4529233	207.2860494	82.57497585	373.0178305
"Ace"	798.463381	866.0982852	1009.34073	880.5505756	790.2112849	799.0143576	891.6443806	987.4309635	946.399356	1374.601848	1257.380165	1263.6624	1017.549509	1147.986	1244.191687	1057.546977	1016.97307	1022.694922
"Ftl1"	1487.849801	1593.79749	1644.911715	2076.292116	1559.357787	1452.364908	1891.251719	1727.270361	1593.638747	1638.869425	1594.120076	1705.856011	1608.979401	1753.306969	1477.288661	1544.18491	1381.918039	1611.81187
"Fasn"	955.9078707	472.942711	604.4924874	499.7577958	485.697901	440.4703923	482.8717724	470.4211282	500.3122557	534.7729524	670.6737193	541.9448514	1000.413904	715.227702	715.7433336	670.7991479	806.4332364	630.1122275
"Igfbp5"	1202.636359	601.4339442	466.1808238	454.4739081	537.9883029	644.3102945	487.0983016	507.8944823	497.3250113	380.4040477	424.6853447	353.3752342	596.2527831	549.4188286	471.2911202	495.791589	553.9541403	427.9469132
"Malat1"	1166.489678	1094.810711	907.3363191	1248.358949	1113.916371	1204.388279	918.0107464	1284.948041	1126.709801	994.5166742	982.9307961	957.2389385	1074.30944	1126.708281	1242.035605	1108.861794	1330.226616	1180.461882
"Adgrf5"	1326.683054	1308.508534	1526.508077	1299.880836	1339.646254	1297.314443	1199.507193	1425.286446	1337.472768	1518.089528	1524.23078	1400.953891	1429.499137	1427.703038	1730.991523	1477.738515	1613.879643	1593.647505
"Ptprb"	822.3286866	745.2358513	936.9054448	872.8254344	760.4217869	804.8479549	750.8650799	948.2837564	894.5844695	1050.1348	1026.21591	993.4744744	965.2708327	1005.092632	1287.44252	967.6986013	1127.446532	1067.119376
"Tmsb4x"	2165.9822	2113.826455	1946.447238	1609.690669	2017.491065	1832.107007	2147.577574	1952.628871	1897.767526	1965.247602	1959.796259	1996.770825	1912.902987	2028.493227	1781.902392	2222.654982	1776.854119	2268.912612
"Ddx5"	1481.041113	1641.899851	1624.070623	1423.620193	1595.585896	1697.391593	1450.775904	1441.556248	1602.274148	1870.228777	1878.655339	1788.988234	1791.340366	1753.889743	1805.433923	1666.870286	1674.284807	1769.924061
"Fth1"	1627.52005	1903.684688	1995.364886	1836.780369	1820.077264	1523.637351	1979.305351	1716.691295	1625.971713	1788.024881	1652.619152	1820.789103	1867.913201	1903.327504	1563.94246	1721.287935	1595.263029	1709.588734
"mt-Nd5"	1913.110297	1508.741814	1418.604515	1371.333472	1796.149145	1457.826757	1729.328472	1523.831211	1635.377035	1482.837014	1665.766825	1578.374017	1767.611486	1623.999187	1439.001591	1787.419227	1632.647759	1535.104175
"Calcrl"	1176.44478	1063.98921	1141.026839	858.4884457	898.6913251	853.9428495	1042.63332	1018.532291	969.3164529	1297.918987	1169.595478	1063.487756	1202.918548	1163.361054	1296.887431	1115.413891	1173.294866	1187.992898
"Hc"	930.4933515	644.988441	745.7148022	590.1808557	622.1583717	576.1567722	519.7020468	498.960201	554.6224065	547.4150388	546.5850001	427.3924049	587.9335554	592.0283058	702.2118839	740.7152922	868.6516911	803.3920372
"Tsc22d3"	103.0900497	102.9216466	127.7258986	93.71597195	117.6450548	179.3935159	230.9801001	135.5893611	220.0454487	364.5838028	334.3426361	394.7590694	163.1903561	263.2703915	169.33715	321.7239171	196.6915914	265.6670378
"Eef2"	1808.002071	1595.873828	1860.538499	1996.833793	1788.262723	1805.667345	2045.247399	2074.02924	1972.202957	2053.716104	2012.872988	2056.379194	1923.78399	2011.211413	1871.214547	1797.585069	1885.034534	1818.955153
"Cyp4b1"	512.6386521	646.2475446	738.5678287	484.138044	588.9099365	531.4871187	591.260632	563.9516017	510.2126599	793.3163175	742.8457425	837.1853998	898.4484425	874.3871732	898.9822027	833.629748	773.469686	800.9766073
"Txnip"	746.6811482	852.208499	914.1539751	875.0475788	885.5057275	739.1101502	749.6728371	794.6883636	732.9655509	725.7813326	621.5213572	656.4713026	595.2160269	675.2361045	615.9002679	737.2696424	879.7192376	742.5880974
"Lmo7"	536.7662498	407.6893	525.4316481	300.4788582	424.81248	468.3743028	558.4711285	585.2623424	636.3531654	843.5827203	839.3113747	855.6977387	651.7577456	663.9638081	729.3576376	576.6375344	593.1734663	548.8293334
"Thbd"	682.6775231	779.9548813	932.3084415	785.806362	612.9794412	653.4389384	805.4038334	718.7169959	851.961486	1227.316603	1076.799802	1079.783071	846.5563284	934.1771383	942.5766231	975.9665943	801.6175201	892.6199874
"Emp2"	1509.161439	1387.466286	1668.627054	1113.927148	1424.254395	1301.091073	1429.866451	1508.735043	1403.58486	1479.836635	1487.28566	1607.678103	1334.515981	1339.090604	1466.466591	1435.679778	1453.146926	1396.794713
"Macf1"	1158.833585	932.1734067	958.1486629	959.3088056	902.1708578	1118.001516	765.8119064	971.4264094	1021.713278	802.6927667	873.942124	805.7162806	782.0463981	849.7460657	1066.768996	926.7598957	1148.046088	1029.93172
"Hspa5"	590.5121286	673.9120135	765.5264973	408.0913252	413.9012977	399.2394156	502.0408902	348.8094088	399.7330082	575.4477366	645.0719881	552.0601023	798.4167779	618.320096	659.7900612	658.5649523	702.532757	700.3536648
"Actb"	1828.298896	2057.405313	1869.870841	1634.217405	1880.560793	1713.440485	1762.001435	1731.995787	1622.855425	1576.816676	1629.905162	1724.482234	1614.393737	1698.460455	1666.888112	1645.241438	1665.903267	1729.720084
"Cyp26b1"	16.98627373	10.00760341	92.24586004	675.7807008	4.313930328	8.546324046	43.9010938	4.935565141	15.60315617	26.72263337	13.19830188	47.13435816	11.03404767	18.76055007	16.5942468	348.810737	15.97874074	17.88379085
"Hopx"	936.3597506	938.7042472	979.1146493	477.7699279	908.4747625	809.4512715	862.7346105	913.84199	831.8616429	938.9789729	848.1068674	981.1725269	908.5212691	879.764174	897.6743233	1011.65097	843.6680422	999.7489306
"Mettl7a1"	615.0214403	698.6937811	852.550883	656.4770513	740.067272	706.5996736	867.043071	807.3391558	841.4146209	1053.186678	1042.944307	1091.034067	925.9535834	988.1805024	933.9869354	823.6488712	799.6621957	790.499858
"Hpgd"	543.3726288	551.9637707	569.7063678	410.759041	438.0709969	391.7920904	543.1054631	620.1740473	517.3640548	842.4701885	625.9355579	669.9566533	672.154195	713.4511301	699.7084698	651.3959041	550.2936278	672.4795325
"Dnaja1"	237.8487301	241.7485279	261.6130585	150.5301295	151.1478727	183.9188432	170.5818403	136.5377163	170.7928299	486.6885794	585.4217391	424.5341642	419.1348423	395.2679023	279.1728078	213.701983	173.5425387	188.6479231
"Myh6"	579.2008517	387.2565236	191.7406252	341.5958285	305.5431608	294.6610054	249.299533	292.0104406	300.8139613	124.4123806	288.9684501	247.7688708	594.6374182	307.0521728	356.2099016	336.7337917	292.930166	103.2204787
"Cav1"	1405.75075	1334.175958	1338.26617	925.7773387	1331.706952	1160.055279	1263.842397	1314.217457	1231.513378	1362.107205	1414.778221	1444.393828	1417.550769	1301.638896	1402.35803	1398.141535	1388.230628	1502.26631
"Cd36"	1171.366893	1041.289536	1200.763799	1241.629679	1202.480525	1028.588769	1026.200428	1066.909913	1003.684964	974.2265489	973.5524391	870.8672108	1019.692138	1022.161969	1055.608487	1245.241805	1171.314291	1221.495124
"Actg1"	1459.807998	1418.202098	1420.521053	1451.041874	1291.693161	1441.830508	1577.422042	1473.632577	1410.536485	1230.404461	1309.670248	1348.959038	1257.615334	1326.344484	1275.298995	1321.844402	1328.935691	1267.617853
"Aldh2"	741.9702519	903.0023619	974.8021585	907.4346508	884.9886125	853.4203214	828.5430916	848.8372664	882.0231532	1160.70085	992.7730397	1091.510028	1143.482304	1181.244064	1073.599553	1107.256756	1031.308959	1060.277635
"Alas1"	199.054044	275.0102206	286.8086465	356.1257712	335.4495524	405.3245283	489.5082142	385.7855727	480.4152847	519.9925757	496.4010757	568.5961824	337.5924894	405.6141461	283.5004188	289.9497121	237.311523	260.6772057
"Gpx3"	831.108109	1014.668671	970.0410565	882.2370188	773.81167	665.7839897	1015.496376	987.3467864	841.5647587	1123.056781	817.8282984	936.218676	1002.42768	1016.964283	900.4000863	928.3227591	836.977487	924.8077264
"Eln"	521.9661067	613.2480319	457.4091053	416.6098627	259.6652076	251.7961535	193.7232175	238.3569112	255.2335128	275.6645031	256.6014421	198.0479843	317.5954379	237.1308965	326.5186046	524.135809	466.6131598	429.3628344
"AY036118"	60.4362349	264.8683299	87.86448132	90.57856559	132.5395255	56.46553048	318.9207235	291.9571486	65.65857749	138.495044	218.7007035	87.4765262	142.7015859	338.2296892	60.1685388	94.06099739	55.57208761	87.81855396
"Nr1d1"	49.13859063	39.75160756	60.31830583	294.4058855	286.7572467	296.1103059	231.6878177	307.2446832	250.3248777	41.22152619	41.87573421	49.11494941	8.000795373	8.755742155	6.229044911	5.012730581	5.387005582	6.520237121
"Hsp90b1"	833.2996927	855.1615413	879.5022708	636.0658205	672.0925327	639.7180263	730.6838271	624.0764745	584.5420013	742.9264567	748.3668159	688.375533	920.938152	803.7535487	840.3125293	892.1118056	916.2935888	980.6704748
"H2-K1"	1165.204392	966.6014809	1034.804028	1178.206212	1123.718734	998.0247742	1113.905145	969.8579292	1020.0872	1063.109869	1021.043543	1091.5026	933.7016077	895.3670564	994.6792814	993.8690314	1037.825918	1272.129582
"Lyz1"	455.5042434	344.9361912	423.2110527	687.617539	260.6643695	334.6110083	394.567402	342.8946033	411.6323535	431.0923237	365.3338057	365.5224479	348.6650452	332.7691716	299.6083067	341.3946672	328.2680388	352.7251347
"Glul"	245.0800295	219.4536337	242.8486827	285.4030589	287.1552415	301.2653966	432.0142806	302.2400807	353.6897384	492.9073289	382.9323854	450.9484432	341.2724801	327.4517378	268.8202446	350.4766264	273.7193797	303.5332911
"B2m"	1096.330642	930.4033718	1005.020398	874.4147659	1057.450084	805.4335243	1051.388677	831.66695	876.7100149	983.2714255	996.0911264	992.8382094	917.5864675	814.1268125	928.4310225	927.5166253	935.3702326	1167.053043
"Myh14"	669.4816696	468.4396092	580.5396809	391.5188631	499.6227115	554.319127	535.8764314	638.7844587	621.1700226	716.0965914	694.9046751	761.4921537	682.6506106	663.1851378	758.6744523	661.0393856	727.2536443	662.2780188
"Hp"	829.4242049	1020.219854	995.9916104	890.928834	940.2620277	896.636125	913.0856816	892.0685779	898.3912673	926.4659882	782.1419381	877.0070437	975.455234	1032.938692	857.1141457	1102.233783	922.7521564	1066.929558
"Akap5"	636.7862282	453.2875222	566.3728683	209.8717304	442.4784421	407.6590071	337.4273272	518.1525851	431.1837596	396.3794967	433.5839936	473.607026	459.1057417	403.0803972	582.6925821	502.3533256	604.5416499	538.5922289
"Cldn18"	880.7892788	751.9355102	880.4258159	465.748387	744.9673402	702.7561025	688.3182403	731.5500709	725.3048045	780.356768	857.4940844	876.7309988	736.5525506	755.5834567	794.5372176	783.5632938	749.8590253	785.8653408
"Serpinh1"	389.9792154	513.5940437	488.3134231	350.2349622	314.2066462	326.0906807	364.2259516	300.4045349	313.0346758	477.7467019	508.786152	400.5640586	633.8959181	487.4764665	519.6527003	524.6545543	557.1680371	592.2744468
"Ubb"	1387.327596	1520.040494	1681.24417	1477.86819	1489.498278	1483.577513	1661.306356	1466.154742	1508.613644	1737.848778	1565.760972	1655.778618	1563.542822	1644.092319	1436.810401	1533.439472	1374.28533	1580.325863
"Chil1"	811.7890173	753.3429693	892.2263591	1066.344949	878.4464676	759.8455471	858.3858906	784.5404783	847.2879839	726.7823996	673.9354814	682.1843285	570.6217024	645.769452	612.1507639	788.2289892	722.2201437	823.7659987
"Tpt1"	1477.221792	1509.054511	1498.624743	1344.941303	1562.755494	1430.283546	1720.619025	1524.376243	1466.017338	1500.865391	1424.045195	1519.914391	1569.10181	1611.995505	1398.644102	1577.722006	1418.568142	1620.928457
"H2-D1"	1174.561839	1044.76502	1148.193975	1231.959764	1209.551475	1044.319204	1199.182293	1122.812607	1124.705276	1173.366923	1089.889885	1192.63716	1070.506026	1007.808152	1105.532595	1088.277064	1145.405059	1311.303205
"Vegfa"	934.0023939	1001.938872	1090.499008	741.9239295	929.8935657	1006.41447	821.4934614	1040.130687	1077.377771	956.4253343	1053.686478	1132.504553	952.8267967	930.4182733	1008.45274	1031.00963	957.5076929	994.661817
"Sdpr"	772.2325391	712.7894745	848.8404607	534.0134748	744.5404003	742.2472686	722.9455494	814.6619599	808.0517849	912.9018478	908.388711	930.3251791	848.1233113	847.3719811	860.7494326	838.2677287	824.9370127	875.7600256
"Npc2"	891.1413629	850.7383725	970.4639047	919.103289	908.2671372	842.8293787	1046.966501	950.3009794	1017.273048	1090.815228	1030.504805	1013.771202	974.1662005	1068.423459	930.1152566	1008.910236	890.4230212	965.44947
"Srrm2"	530.9407486	519.4732709	514.1715664	540.1765774	552.2237164	725.7005454	468.3734496	601.1524398	684.5628854	673.2503596	618.5899482	628.0194904	583.6729813	569.4695887	700.6947625	576.1507212	666.3892399	665.8353207
"Bgn"	744.1809213	920.5147086	900.3495238	982.8790231	772.7011808	723.370616	882.8466455	764.1665866	667.1890967	720.9114485	731.6706951	723.803359	725.5584921	746.9136877	674.6616894	734.5783122	742.1095333	651.7822878
"Scn7a"	592.9300142	511.8489479	376.4429292	477.2558071	574.0967347	570.0716595	406.0907681	620.9994676	636.2086113	407.6790668	474.1743885	411.509301	297.8274602	395.8893647	375.6221277	388.0431862	426.1999654	469.8212854
"Msn"	1050.707637	953.9656826	1048.326768	735.3082738	932.2937809	898.4792714	936.5251195	988.7450955	956.1030922	975.2748826	1087.962825	1074.317877	918.249004	882.5497012	1076.619285	962.5617574	1038.648922	959.6102038
"Sptan1"	814.4326595	646.3773557	766.5178102	620.4739962	654.8568503	701.7890355	701.341092	754.2294469	782.8565652	926.137943	931.0413131	848.654261	818.3669285	798.9660774	960.4698554	767.4960463	880.6621806	789.7779577
"Cyp2b10"	252.4994594	227.4155935	294.3028595	150.4488857	215.0474786	203.4597044	358.0486081	283.9500269	319.6152992	461.579364	355.9155785	425.15248	342.14533	319.9659406	345.2885935	289.2466044	268.0364715	275.2196123
"Ubc"	1025.298571	1021.088245	1080.840148	1015.899543	848.6964908	861.7170798	1004.46601	929.8562335	847.4958192	1153.313837	1027.441761	1070.868553	999.2241032	1013.455354	965.2800805	903.7459194	877.2297103	884.9982146
"Col4a1"	841.1564578	790.3659862	857.4122364	896.9567418	739.1282268	747.7396628	706.1008814	927.6597556	949.9735025	896.7648454	825.1871982	765.4298167	800.0696634	781.1622846	870.3329027	859.366384	975.3202407	882.2666196
"Wfdc2"	620.1554938	687.9693391	601.4591821	756.4957635	680.3507869	661.0415923	811.5945967	685.5572652	676.8252089	671.8972613	615.4351395	662.2199687	607.938506	699.6475411	532.3022442	659.2608302	508.6131812	619.2926201
